Document,Segments,Intersectionality,Macro,Micro,Microaggression,Ableism,Cisgenderism,Ethnocentrism,Heteronormativity,Classism,Sexism,Racism,Practice
1,238,23,0,13,13,5,9,17,100,5,13,35,5
2,116,5,2,4,4,0,4,9,31,1,13,38,5
3,28,8,0,0,0,0,0,2,2,1,9,4,2
4,67,1,3,1,0,0,0,27,7,1,2,25,0
5,193,19,1,0,0,0,0,51,21,4,64,18,15
6,69,0,0,0,0,0,0,7,15,0,1,36,10
7,73,8,0,1,0,0,0,7,26,3,5,21,2
8,95,5,0,0,0,3,0,3,25,15,33,10,1
9,130,2,2,1,0,0,0,33,21,20,37,13,1
10,57,3,0,0,0,0,0,13,18,1,5,14,3
11,131,6,0,1,1,0,0,34,28,0,16,23,22
12,36,0,1,1,0,0,0,8,8,0,3,13,2
13,102,23,1,2,2,0,0,11,28,2,3,6,24
14,97,12,0,3,3,1,0,9,23,2,2,7,35
15,110,1,0,0,0,0,0,52,22,6,11,5,13
16,91,5,1,0,0,0,0,13,23,1,39,5,4
17,41,2,0,0,0,0,0,7,13,1,0,15,3
18,127,2,0,5,0,0,0,35,23,3,2,55,2
19,64,11,0,0,0,0,0,9,20,0,17,4,3
20,167,3,0,1,0,0,0,4,88,2,52,10,7
21,167,3,5,13,0,2,0,18,38,10,0,16,62
22,106,2,0,0,0,0,0,5,36,2,20,6,35
23,89,21,1,1,0,0,0,4,24,1,16,10,11
24,159,4,1,1,0,0,0,4,36,1,42,67,3
25,27,0,0,0,0,0,0,1,22,0,0,0,4
26,205,8,3,0,0,2,0,24,104,9,44,6,5
27,136,29,1,0,0,0,0,6,31,6,44,4,15
28,155,9,0,0,0,0,0,14,42,4,72,1,13
29,127,3,2,10,0,0,0,6,59,35,2,6,4
30,213,4,2,5,3,1,0,64,41,17,0,62,14
31,51,11,0,1,0,0,0,1,12,2,1,1,22
32,53,10,2,1,0,0,0,2,10,1,15,11,1
33,55,1,0,0,0,0,0,13,21,4,0,3,13
34,109,32,0,1,0,1,0,1,28,1,12,3,30
35,214,51,0,0,0,1,0,16,14,60,41,24,7
36,212,45,0,0,0,0,0,21,30,1,83,10,22
37,161,38,0,0,0,2,3,13,84,2,7,10,2
38,98,40,0,0,0,0,4,8,21,2,0,3,20
39,362,36,0,0,0,0,0,81,70,6,96,72,1
40,147,41,3,3,0,5,0,5,27,2,12,12,37
41,149,14,0,1,1,2,0,29,22,36,19,24,1
42,114,1,0,2,0,0,0,54,23,1,2,26,5
43,10,1,0,0,0,0,0,0,3,0,4,2,0
44,292,40,2,34,30,1,1,28,27,9,14,101,5
45,118,31,0,0,0,0,0,34,15,9,16,12,1
46,376,57,4,17,10,1,3,10,117,3,22,127,5
47,95,2,0,0,0,0,0,16,11,2,1,57,6
48,21,4,0,0,0,0,0,0,9,1,1,0,6
49,120,7,0,1,1,0,0,77,17,7,3,5,2
50,135,36,0,1,0,7,0,15,33,0,23,14,6
51,24,0,0,2,0,0,0,1,14,0,0,4,3
52,175,1,0,0,0,0,0,66,70,8,7,22,1
53,110,4,1,0,0,0,0,27,18,9,33,9,9
54,117,3,0,0,0,0,0,18,33,3,19,35,6
55,66,0,0,0,0,0,0,20,9,2,0,29,6
56,217,65,1,2,0,8,1,11,58,2,30,10,29
57,84,4,3,1,0,3,7,2,24,2,10,3,25
58,158,17,0,0,0,1,2,33,66,9,7,17,6
59,134,21,0,0,0,0,35,2,60,1,11,2,2
60,244,24,0,56,56,3,26,7,31,1,20,13,7
61,95,10,1,1,0,0,0,42,22,1,0,15,3
62,29,2,0,0,0,0,2,5,9,1,5,1,4
63,248,18,0,0,0,1,7,17,114,43,25,20,3
64,169,21,0,1,1,0,0,62,12,5,13,36,18
65,123,61,0,0,0,1,0,7,28,1,7,7,11
66,143,14,2,2,0,1,0,13,24,0,59,21,7
67,130,12,0,0,0,0,0,8,18,4,59,29,0
68,192,20,1,3,2,2,0,18,55,10,17,50,14
69,403,53,0,0,0,0,0,37,90,108,84,12,19
70,132,16,0,0,0,0,6,5,53,1,4,23,24
71,287,52,0,4,4,2,26,16,104,2,12,23,42
72,136,14,0,0,0,0,0,23,10,5,47,37,0
73,90,12,0,0,0,2,0,14,31,21,6,4,0
74,204,61,0,0,0,1,2,12,40,1,50,7,30
75,126,5,0,0,0,0,0,3,19,16,28,52,3
76,5,2,0,0,0,0,0,1,2,0,0,0,0
77,135,6,0,0,0,0,0,35,31,3,29,26,5
78,169,21,0,1,1,0,0,62,12,5,13,36,18
79,144,15,0,0,0,0,0,11,51,30,10,26,1
80,209,5,5,2,0,0,0,77,35,14,0,67,4
81,88,0,0,0,0,0,0,14,35,7,2,28,2
82,146,5,0,0,0,0,0,3,101,0,16,19,2
83,86,4,0,0,0,0,0,5,31,0,29,12,5
